form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komthayong023,hmu,2.sg.1.sg.fut.aff,na-hmu-sik-ing,na-Σ-sik-ing,na+Σ+sik+ing,n a Σ s i k i ŋ,n a + Σ + s i k + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong024,hmu,2.sg.1.pl.excl.fut.aff,na-hmu-sik-ung,na-Σ-sik-ung,na+Σ+sik+ung,n a Σ s i k u ŋ,n a + Σ + s i k + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong025,hmu,2.pl.1.sg.fut.aff,nan-hmu-sik-eng,nan-Σ-sik-eng,na+n+Σ+sik+eng,n a n Σ s i k e ŋ,n a + n + Σ + s i k + e ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong026,hmu,2.pl.1.pl.excl.fut.aff,nan-hmu-sik-ung,nan-Σ-sik-ung,na+n+Σ+sik+ung,n a n Σ s i k u ŋ,n a + n + Σ + s i k + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong027,hmu,2.sg.3.sg.fut.aff,na-hmu-sik,na-Σ-sik,na+Σ+sik,n a Σ s i k,n a + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong028,hmu,2.sg.3.pl.fut.aff,na-hmu-sik-hei,na-Σ-sik-hei,na+Σ+sik+hei,n a Σ s i k h ei,n a + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong029,hmu,2.pl.3.sg.fut.aff,nan-hmu-sik,nan-Σ-sik,na+n+Σ+sik,n a n Σ s i k,n a + n + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong030,hmu,2.pl.3.pl.fut.aff,nan-hmu-sik-hei,nan-Σ-sik-hei,na+n+Σ+sik+hei,n a n Σ s i k h ei,n a + n + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong031,se,3.sg.fut.aff,ka-se-sik,ka-Σ-sik,ka+Σ+sik,k a Σ s i k,k a + Σ + s i k,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong032,se,3.pl.fut.aff,ka-se-sik-hei,ka-Σ-sik-hei,ka+Σ+sik+hei,k a Σ s i k h ei,k a + Σ + s i k + h ei,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong033,hmu,3.sg.1.sg.fut.aff,a-hmu-sik-ing,a-Σ-sik-ing,a+Σ+sik+ing,a Σ s i k i ŋ,a + Σ + s i k + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong034,hmu,3.sg.1.pl.excl.fut.aff,a-hmu-sik-ung,a-Σ-sik-ung,a+Σ+sik+ung,a Σ s i k u ŋ,a + Σ + s i k + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong035,hmu,3.sg.1.pl.excl.fut.aff,ei-hmu-sik-ung,ei-Σ-sik-ung,ei+Σ+sik+ung,ei Σ s i k u ŋ,ei + Σ + s i k + u ŋ,sociolect_var,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong036,hmu,3.sg.1.pl.excl.fut.aff,a-hmu-sung,a-Σ-sung,ei+Σ+sung,ei Σ s u ŋ,ei + Σ + s u ŋ,dialect_var,fusion,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong037,hmu,3.sg.1.pl.incl.fut.aff,a-hmu-sik-me,a-Σ-sik-me,a+Σ+sik+me,a Σ s i k m e,a + Σ + s i k + m e,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong038,hmu,3.pl.1.sg.fut.aff,an-hmu-sik-ing,an-Σ-sik-ing,a+n+Σ+sik+ing,a n Σ s i k i ŋ,a + n + Σ + s i k + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
